id,lot_title,lot_main,description,price,image,auction_id
1001,Buick,Riviera,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.",$1.57,supercar1000,3
1002,Ford,Escort,Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,$1.43,supercar999,5
1003,Dodge,Durango,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum.,$3.48,supercar998,3
1004,Honda,Element,"Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",$7.01,supercar997,15
1005,Mitsubishi,Montero Sport,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",$0.64,supercar996,17
1006,Toyota,Celica,Duis at velit eu est congue elementum.,$3.24,supercar995,1
1007,Mitsubishi,Truck,"Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.",$2.26,supercar994,10
1008,Volkswagen,GTI,Praesent blandit.,$3.67,supercar993,13
1009,Buick,Rendezvous,"Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",$5.12,supercar992,3
1010,Lexus,LS,Fusce consequat.,$2.35,supercar991,9
1011,Dodge,Dakota,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",$1.99,supercar990,7
1012,Ford,F-Series,Proin risus. Praesent lectus.,$3.29,supercar989,6
1013,Ford,Laser,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo.",$4.62,supercar988,6
